80;PromoDJ - Old-School Channel;http://radio.promodj.com:8000/oldschool-192
81;PromoDJ - POP Channel;http://radio.promodj.com:8000/pop-192
82;PromoDJ - Strange Channel;http://radio.promodj.com:8000/strange-192
83;PromoDJ - Too Deep Channel;http://radio.promodj.com:8000/toodeep-192
84;PromoDJ - TOO NU Channel;http://radio.promodj.com:8000/toonu-192
85;PromoDJ - Vata Channel;http://radio.promodj.com:8000/vata-192
86;PromoDJ - YO Radio Channel;http://radio.promodj.com:8000/yo-192
87;Promodj;http://radio.promodj.com:8000/nu-192
88;Promodj;http://radio.promodj.com:8000/top100-192
89;Radio &quot;My Udmurtiya&quot;;http://radio.myudm.ru:10010/mp3
90;Radio &quot;Zarechny&quot; 103.3 FM Penza Oblast;http://85.234.36.51:8000/radio
91;Radio 3 OMSK;http://81.23.194.18:8010/radio3.mp3
92;Radio 7;http://retroserver.streamr.ru:8040/radio7_happiness64.aacp
93; 101.6FM;http://fm2inet.aliseplus.lv:8000
94;Radio Anima Amoris - Dub Techno Mix;http://amoris.sknt.ru:8024/;
95;Radio ATD www.radiogora.ru;http://listen.radiogora.ru:8000/atd320
96;Radio Borneo ;http://live.borneo.ru:8888/128
97;RADIO CAFE;http://radio.mv.ru:8080/Radio_Cafe
98;Radio Cardiowave;http://91.206.30.79:8000/CW128
99;Radio DRIVE www.radiogora.ru;http://listen.radiogora.ru:8000/drive128
100;Radio ELECTRO www.radiogora.ru;http://listen.radiogora.ru:8000/electro32
101;Radio Enjoy;http://www.radioenjoy.org:8000/320
102;Radio ET CETERA www.radiogora.ru;http://listen.radiogora.ru:8000/etc320
103;Radio ethnomusic;http://i-radio.info:8060/radio
104;Radio FREAKYFUNKY www.radiogora.ru;http://srv3.listen.radiogora.ru:8000/freakyfunky320
105;Radio GROOVE CAFE www.radiogora.ru;http://srv3.listen.radiogora.ru:8000/groovecafe320
106;Radio HIPHOP www.radiogora.ru;http://listen.radiogora.ru:8000/hiphop128
107;Radio HITMIX www.radiogora.ru;http://listen.radiogora.ru:8000/hitmix128
108;Radio Karnaval 92.8FM in Moscow;http://online.carnivalfm.ru:8000/stream/2/
109;Radio Lyantor 100.3 FM;http://a2.radioheart.ru:8015/admin
110;Radio Miliceyskaya volna Novokuznetsk;http://radio.mvd.ru:8000/mv128.mp3
111;Radio Mix (Luga 106.0 FM);http://media.luga.ru:8002/live
112;Radio Mixa Dance FM;https://stream.mixadance.fm/mixadance
113;Radio NEVSKY FM;http://radionevskyfm.ru:8000/radio
114;Radio NU EUPHORIA Trance Moscow;http://194.87.111.252:8000/live
115;Radio OLDIES www.radiogora.ru;http://listen.radiogora.ru:8000/oldies128
116;Radio Podsolnuh 102.9 FM;http://live.podsolnuh.media:8000/radio
117;Radio Possibly;http://s04.radio-tochka.com:4450/radio
